"toolid","moduleid","recipeid","lotid","carrierid","slotno","waferid","recipestepno","sdate","edate"
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",6,2024-01-04 14:55:09.480,2024-01-04 14:55:34.520
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",7,2024-01-04 14:55:34.520,2024-01-04 14:55:35.570
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",8,2024-01-04 14:55:35.570,2024-01-04 14:55:40.600
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",9,2024-01-04 14:55:40.600,2024-01-04 14:55:43.770
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",10,2024-01-04 14:55:43.770,2024-01-04 14:55:53.780
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",1,2024-01-04 14:58:26.490,2024-01-04 14:58:33.510
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",2,2024-01-04 14:58:33.510,2024-01-04 14:58:38.520
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",3,2024-01-04 14:58:38.520,2024-01-04 14:58:48.530
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",4,2024-01-04 14:58:48.530,2024-01-04 14:58:49.580
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",5,2024-01-04 14:58:49.580,2024-01-04 14:58:50.590
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",6,2024-01-04 14:58:50.590,2024-01-04 14:59:40.630
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",7,2024-01-04 14:59:40.630,2024-01-04 14:59:41.680
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",8,2024-01-04 14:59:41.680,2024-01-04 14:59:46.710
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",9,2024-01-04 14:59:46.710,2024-01-04 14:59:49.880
tesla_sensor,model_3,tesla_recipe.134,Wiper Blades,CHAdeMo,14,"14",10,2024-01-04 14:59:49.880,2024-01-04 14:59:59.890
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",1,2024-01-04 15:02:41.890,2024-01-04 15:02:48.940
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",2,2024-01-04 15:02:48.940,2024-01-04 15:02:53.950
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",3,2024-01-04 15:02:53.950,2024-01-04 15:03:03.960
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",4,2024-01-04 15:03:03.960,2024-01-04 15:03:05.010
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",5,2024-01-04 15:03:05.010,2024-01-04 15:03:06.020
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",6,2024-01-04 15:03:06.020,2024-01-04 15:03:31.060
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",7,2024-01-04 15:03:31.060,2024-01-04 15:03:32.110
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",8,2024-01-04 15:03:32.110,2024-01-04 15:03:37.140
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",9,2024-01-04 15:03:37.140,2024-01-04 15:03:40.320
tesla_sensor,model_3,tesla_recipe.135,Wiper Blades,CHAdeMo,15,"15",10,2024-01-04 15:03:40.320,2024-01-04 15:03:50.330
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",1,2024-01-04 15:06:22.860,2024-01-04 15:06:29.880
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",2,2024-01-04 15:06:29.880,2024-01-04 15:06:34.890
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",3,2024-01-04 15:06:34.890,2024-01-04 15:06:44.900
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",4,2024-01-04 15:06:44.900,2024-01-04 15:06:45.950
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",5,2024-01-04 15:06:45.950,2024-01-04 15:06:46.960
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",6,2024-01-04 15:06:46.960,2024-01-04 15:07:37.010
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",7,2024-01-04 15:07:37.010,2024-01-04 15:07:38.060
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",8,2024-01-04 15:07:38.060,2024-01-04 15:07:43.090
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",9,2024-01-04 15:07:43.090,2024-01-04 15:07:46.260
tesla_sensor,model_3,tesla_recipe.136,Wiper Blades,CHAdeMo,21,"21",10,2024-01-04 15:07:46.260,2024-01-04 15:07:56.270
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",1,2024-01-04 16:22:10.250,2024-01-04 16:22:17.270
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",2,2024-01-04 16:22:17.270,2024-01-04 16:22:22.280
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",3,2024-01-04 16:22:22.280,2024-01-04 16:22:32.290
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",4,2024-01-04 16:22:32.290,2024-01-04 16:22:33.340
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",5,2024-01-04 16:22:33.340,2024-01-04 16:22:34.350
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",6,2024-01-04 16:22:34.350,2024-01-04 16:22:52.590
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",7,2024-01-04 16:22:52.590,2024-01-04 16:22:53.640
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",8,2024-01-04 16:22:53.640,2024-01-04 16:22:58.670
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",9,2024-01-04 16:22:58.670,2024-01-04 16:23:01.840
tesla_sensor,model_3,tesla_recipe.137,Air Filter,CHAdeMo,1,"01",10,2024-01-04 16:23:01.840,2024-01-04 16:23:11.850
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",1,2024-01-04 16:25:45.120,2024-01-04 16:25:52.130
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",2,2024-01-04 16:25:52.130,2024-01-04 16:25:57.140
tesla_sensor,model_3,tesla_recipe.138,Air Filter,CHAdeMo,2,"02",3,2024-01-04 16:25:57.140,2024-01-04 16:26:07.150
