"time","toolid","moduleid","type","event","action","caller","recipeid","recipestepno","acttime","lotid","carrierid","slotno","waferid","message","uuid"
2024-01-04 14:40:05.980,tesla_sensor,model_3,D,LIFTER,COMPLETE,UNLOAD,"",0,3200,Wiper Blades,CHAdeMo,9,"09","03.2Sec","82bb1fdb-d2f1-4887-997b-c90ae37d757e"
2024-01-04 14:40:09.230,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","",ee74e995-3eab-4764-b959-f47f446634ca
2024-01-04 14:46:32.120,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,LOAD,"",0,0,Wiper Blades,"",0,"","","99ee33df-2445-46fb-83b4-ca208c3a6313"
2024-01-04 16:47:30.780,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","","43d6fc42-2171-4fdc-b24e-bf8fc732ab97"
2023-11-28 10:22:14.400,tesla_sensor,model_Y,S,PUMP START,STEP START,"","",0,0,"","",0,"","","2f200dab-3ffb-48d9-9f48-ff061ec19a62"
2023-11-28 10:22:14.400,tesla_sensor,model_Y,S,END PRCS,STEP START,"","",0,0,"","",0,"","","56026bd1-563b-4848-95d9-b275852a89a5"
2023-11-28 10:22:14.420,tesla_sensor,model_Y,D,CHAMB HTR,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",dfdf35dd-8389-4d60-bfc0-b6efbd5664d7
2023-11-28 10:22:14.420,tesla_sensor,model_Y,D,PUMP HTR,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",dc229cc7-7cb2-427b-938b-35213f55d8a2
2023-11-28 10:27:41.330,tesla_sensor,model_Y,D,SHTR,CLOSE,SHTR RESET,"",0,0,"","",0,"","","3085124b-8840-4676-80b3-c2eaa3188fbb"
2023-11-28 10:27:57.280,tesla_sensor,model_Y,D,MAINV,CLOSE,STOP,"",0,0,"","",0,"","","977cdc84-04fc-47f5-b338-416fdd492ce3"
2023-11-28 11:06:23.840,tesla_sensor,model_Y,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","",b311d486-2e6b-45e6-a7fc-1581cfe57970
2024-01-04 13:45:08.040,tesla_sensor,model_3,D,LIFTER,UP,"","",0,0,"","",0,"","",f2103cf2-e06d-42bc-b53a-518fe5067461
2024-01-04 13:45:13.540,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,LOAD,"",0,0,Battery,"",0,"","","981bcf36-eebf-434a-8705-4e1f76798d6a"
2023-11-28 11:59:41.780,tesla_sensor,model_Y,D,PRCS1 PS,ON,SPT PROCESS,"",0,0,"","",0,"","",cfc1ae68-3be0-4c5e-87f9-ec1ff51233d9
2023-11-28 12:05:11.420,tesla_sensor,model_Y,S,END PRCS,STEP END,"","",0,0,"","",0,"00","","6edf9746-67a3-4844-8351-2806aef8ccbb"
2023-11-28 14:46:00.770,tesla_sensor,model_Y,D,MFC1 MVC,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","","460fa4e4-65ab-4b03-ad37-5f5fafeb7c81"
2023-11-28 14:42:03.580,tesla_sensor,model_Y,D,LIFTER,AUTO EXIT,SPT PROCESS,"",0,0,Tires,"",0,"","","0d2f2ea7-54d8-448c-aecb-605602764b43"
2024-01-04 13:54:31.270,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","","98863aed-c52a-414b-bc6c-3ad0201141a8"
2023-11-28 14:46:45.340,tesla_sensor,model_Y,D,MFC2 IAC,ON,SPT PROCESS,"",0,0,"","",0,"","","311d42c3-8d3b-4aa9-96e0-e665813256ea"
2024-01-04 13:58:37.230,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","","0baffbc4-0f51-4d27-8670-1f0408e3d092"
2024-01-04 14:09:16.620,tesla_sensor,model_3,D,ESC,AUTO EXIT,ESC CONTROL,"",0,0,Battery,"",0,"","","57bedb57-79f7-4751-9867-ac9ac5c9f483"
2023-11-28 14:46:10.270,tesla_sensor,model_Y,S,SHTR SET,STEP START,"","",0,0,"","",0,"","",f8fcea4f-e12b-41fb-b974-2422fcd78b22
2024-01-04 15:06:13.410,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,LOAD,"",0,0,Wiper Blades,"",0,"","","706bc7ad-3381-48d8-9f40-db1b3621ce38"
2024-01-04 14:34:43.560,tesla_sensor,model_3,D,CHAMB HTR,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",d906491c-3c27-4525-86c6-85570602fc5b
2024-01-04 14:34:47.060,tesla_sensor,model_3,D,ASST INLETV,OPEN,ASST INIT,"",0,0,"","",0,"","",eddf00da-ed15-41f2-9ad3-de22a9e91aea
2023-11-28 14:46:10.270,tesla_sensor,model_Y,D,SHIELD,AUTO EXIT,SHTR SET,"",0,0,"","",0,"","","4f65bd38-9c50-4441-b486-fb10d012e74c"
2023-11-28 14:57:09.950,tesla_sensor,model_Y,D,MFC2 MVC,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","",e8e57a41-2e2c-4946-aa7c-979364cd9151
2023-11-28 14:59:39.330,tesla_sensor,model_Y,D,ASST LINE PUMP,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",ae566aa5-f185-4e03-859a-fabfb1994a5e
2024-01-04 12:35:29.250,tesla_sensor,model_3,D,IG FIL,OFF,SETUP,"",0,0,"","",0,"","",e9e39baa-49d7-4df0-a781-5f139bd5d54f
2024-01-04 13:30:19.050,tesla_sensor,model_3,D,MFC3 MVC,ON,SPT PROCESS,"",0,0,"","",0,"","","69526932-7de4-496f-8344-0fde6e32932e"
2023-11-28 14:59:39.340,tesla_sensor,model_Y,D,ASST TMP PUMPV,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","2f29cd28-8c2d-4f32-b302-67f62db14f94"
2024-01-04 15:59:31.850,tesla_sensor,model_3,D,LIFTER,UP,"","",0,0,"","",0,"","",fd5adf24-6d0f-40ca-aff1-8e1177242ab2
2024-01-04 15:43:16.250,tesla_sensor,model_3,D,IG FIL,OFF,"","",0,0,"","",0,"","","95a5dd75-9b0d-4b1c-9d44-fb3877379122"
2024-01-04 15:47:24.000,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","","6c7f3385-3a94-42df-8dc6-73ab05dc2335"
2024-01-04 16:14:58.810,tesla_sensor,model_3,D,MFC2 MVC,ON,SPT PROCESS,"",0,0,"","",0,"00","","38f9bda3-96a7-45ff-86ad-cd7eddb17b8e"
2024-01-04 16:31:17.810,tesla_sensor,model_3,D,ESC RELEASE,ON,ESC CONTROL,F2_EUNO-19,0,0,Air Filter,CHAdeMo,3,"03","","13080014-5112-44b2-b411-c217cc27d48f"
2024-01-04 16:31:17.820,tesla_sensor,model_3,D,ESC RELEASE,COMPLETE,ESC CONTROL,F2_EUNO-19,0,0,Air Filter,CHAdeMo,3,"03","00.0Sec",cb4179e7-6de9-4819-9a91-cf768d6a2d33
2023-11-28 15:35:21.100,tesla_sensor,model_Y,D,MFC3 MVC,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",da7383b9-4d4e-4f8b-a502-15da8d8088db
2023-11-28 15:35:21.100,tesla_sensor,model_Y,D,RF1 PLASMA,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","13e3eb8e-2a75-424b-b99a-415bc11c1ad9"
2023-11-28 15:35:24.740,tesla_sensor,model_Y,D,SHIELD,COMPLETE,END PRCS,"",0,3600,"","",0,"00","03.6Sec","59328bf2-3f8b-491d-874b-fa20eba7a8eb"
2024-01-04 14:01:14.790,tesla_sensor,model_3,D,MFC1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","",d961a92c-1b7c-43f5-8920-1f6ffe7ca5ed
